directory,scenario,policy,state,ranking_eligible,violations,invalid,violation_reasons,min_soc_kwh,max_soc_kwh,max_abs_dispatch_kw,energy_residual_kwh,export_kwh,import_kwh,load_kwh,max_loading,max_power_residual_pu,max_voltage_pu,min_voltage_pu,network_loss_kwh,peak_import_kw,solar_kwh,storage_delta_kwh,storage_loss_kwh,total_loss_kwh
default,Synthetic Canopy 13 / seed 17,baseline,COMPLETED_INFEASIBLE,False,6,0,branch 0-1 current loading,40.0,40.0,0.0,1.9252155425419915e-11,207.44367227855673,833.984162867301,1276.7320419500008,1.045543207850872,5.933655404496739e-11,1.007843861302394,0.9862086149428978,7.6805085387241725,91.21185019320413,657.8720598999998,0.0,0.0,7.6805085387241725
default,Synthetic Canopy 13 / seed 17,storage,COMPLETED_VALID,False,0,0,,40.0,70.4,8.0,3.0947688856031164e-11,175.78883700642547,804.5721289483313,1276.7320419500008,0.9660130459627737,4.390074245665099e-11,1.007374055855131,0.9872962913181771,6.803309891873911,83.83433641656191,657.8720598999998,7.105427357601002e-15,3.1199999999999983,9.92330989187391
default,Synthetic Canopy 13 / seed 17,tap,COMPLETED_INFEASIBLE,False,4,0,branch 0-1 current loading,40.0,40.0,0.0,1.603783772452516e-11,207.488585425528,833.83871336529,1276.7320419500008,1.0323293902911428,5.2286893541002265e-11,1.0202489862349395,0.9988832613513277,7.490145889744887,91.18676886671186,657.8720598999998,0.0,0.0,7.490145889744887
default,Synthetic Canopy 13 / seed 17,combined,COMPLETED_VALID,False,0,0,,40.0,70.4,8.0,4.53770354624794e-11,175.82543066636657,804.4401402625363,1276.7320419500008,0.9538288440837052,5.7141374092722424e-11,1.01978474006259,0.9999568070417506,6.634727546123242,83.81325579622953,657.8720598999998,7.105427357601002e-15,3.1199999999999983,9.75472754612324
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,baseline,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,7.196909734830115e-12,299.16787712193934,543.7291567753499,893.7124283,0.7292482460211663,4.967948554771323e-11,1.0099345737915857,0.9903837339265322,5.365548453403414,63.63511285210405,654.5166971000001,0.0,0.0,5.365548453403414
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,tap_m2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.7554847292776685e-11,299.1012236282119,543.799042579307,893.7124283,0.7386365550744635,4.589073326352826e-11,0.99755730446842,0.9777597558161351,5.502087751067577,63.64769748102841,654.5166971000001,0.0,0.0,5.502087751067577
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,tap_p2,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,2.504663143554353e-13,299.23212435756494,543.6618847625949,893.7124283,0.7200975242300236,5.015913588689111e-11,1.0223147679017464,1.003004568061877,5.234029205029833,63.6230018648305,654.5166971000001,0.0,0.0,5.234029205029833
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,tap_p4,COMPLETED_VALID,True,0,0,,40.0,40.0,0.0,-5.53068701947268e-12,299.2940792602466,543.5970973046359,893.7124283,0.7111754130042102,5.0682958999218336e-11,1.0346977846842373,1.0156223773248254,5.107286844394895,63.611340920077616,654.5166971000001,0.0,0.0,5.107286844394895
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_0,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-2.169375790117556e-13,291.28025407248646,536.4102708574179,893.7124283,0.7094532144228061,4.6535233658573296e-11,1.0099345737915857,0.9909394229991882,5.154285584931776,61.80064125572826,654.5166971000001,0.0,0.7799999999999996,5.934285584931775
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_1,COMPLETED_VALID,True,0,0,,40.0,47.60000000000002,2,-1.9275692153541968e-12,291.2911114126716,536.4102708574179,893.7124283,0.7094532144228061,4.6535233658573296e-11,1.0098181713176249,0.9909394229991882,5.143428244748261,61.80064125572826,654.5166971000001,0.0,0.7799999999999996,5.92342824474826
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_2,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-1.2989609388114332e-12,283.38151062601446,529.1011065042543,893.7124283,0.6897226771360921,3.9004708617609943e-11,1.0099345737915857,0.9910504233009372,4.963864678241174,59.968617287138315,654.5166971000001,0.0,1.5599999999999992,6.523864678241173
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_3,COMPLETED_VALID,True,0,0,,40.0,55.200000000000045,4,-3.921751812185903e-12,283.4032668309943,529.1011065042543,893.7124283,0.6897226771360921,3.9004708617609943e-11,1.0097015508418123,0.9910504233009372,4.9421084732639455,59.968617287138315,654.5166971000001,0.0,1.5599999999999992,6.502108473263945
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_4,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-1.3694823053356231e-11,267.55047412080955,514.511788128725,893.7124283,0.6566175642156024,3.882417713610862e-11,1.0099345737915857,0.9912718357688993,4.6455828079291965,56.3118731840967,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.765582807929195
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_5,COMPLETED_VALID,True,0,0,,40.0,70.4,8,-2.1503687719359732e-11,267.5941538228347,514.511788128725,893.7124283,0.6504677990989305,3.882417713610862e-11,1.0094676521429722,0.9912718357688993,4.601903105911804,56.3118731840967,654.5166971000001,7.105427357601002e-15,3.1199999999999983,7.721903105911802
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_6,COMPLETED_INFEASIBLE,False,19,0,storage capacity,39.99999999999999,85.59999999999997,12,-1.3104184404255648e-11,251.67438720700875,499.9608956137019,893.7124283,0.6566175642156024,3.876161798066354e-11,1.0099345737915857,0.9914924693479785,4.41077720670636,52.664803128487826,654.5166971000001,-7.105427357601002e-15,4.679999999999998,9.090777206706358
exploration/batch-00/case-000,exploration family=storage seed=11 scale=0.7,storage_7,COMPLETED_INFEASIBLE,False,15,0,storage capacity,39.99999999999999,85.59999999999997,12,-2.5149660132228746e-11,251.74016011656767,499.9608956137019,893.7124283,0.6115130878486575,3.876161798066354e-11,1.0092328701415318,0.9914924693479785,4.3450042971594325,52.664803128487826,654.5166971000001,-7.105427357601002e-15,4.679999999999998,9.02500429715943
