policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_VALID,0,0,6.247771709848732,77.40015978574255,0.9883003027349101,0.8871076783180245
tap_m2,COMPLETED_VALID,0,0,6.4077876896377886,77.41885533160168,0.9756488568753958,0.8985706331742276
tap_p2,COMPLETED_VALID,0,0,6.093687440541281,77.38217132146659,1.000947885536332,0.875936385888771
tap_p4,COMPLETED_VALID,0,0,5.945244653467089,77.36485449657545,1.0135917527420037,0.8650456579220751
storage_0,COMPLETED_VALID,0,0,6.805909007559291,75.55890600130851,0.9889534911864977,0.8672278530129947
storage_1,COMPLETED_VALID,0,0,6.79420995214243,75.55890600130851,0.9889534911864977,0.8672278530129947
storage_2,COMPLETED_VALID,0,0,7.385031281213902,73.72012485337018,0.9890651541898775,0.8474061164696866
storage_3,COMPLETED_VALID,0,0,7.361588228686946,73.72012485337018,0.9890651541898775,0.8474061164696866
storage_4,COMPLETED_VALID,0,0,8.606263966395794,70.04994075166164,0.9892878852002568,0.8079451224191082
storage_5,COMPLETED_VALID,0,0,8.559196799827266,70.04994075166164,0.9892878852002568,0.8079451224191082
storage_6,COMPLETED_INFEASIBLE,19,0,9.9115425317424,66.38952875016425,0.9895098282688563,0.768743249861411
storage_7,COMPLETED_INFEASIBLE,15,0,9.840667566117943,66.38952875016425,0.9895098282688563,0.768743249861411
